rule_id, rule_name               , rule_type   , conditions                                                                                                                                         , actions                                                                                                                        , priority, status, created_date, description
R001   , High Priority Task Rule , priority    , "[{""field"": ""priority"", ""operator"": ""equals"", ""value"": ""high""}]"                                                                       , "[{""action"": ""assign_experienced_worker"", ""params"": {""min_experience"": 5}}]"                                           ,        1, active, 2025-06-01  , Assign experienced workers to high priority tasks
R002   , Phase 2 Duration Rule   , validation  , "[{""field"": ""phase"", ""operator"": ""equals"", ""value"": 2}, {""field"": ""duration"", ""operator"": ""greater_than"", ""value"": 3}]"        , "[{""action"": ""flag_for_review"", ""params"": {""reason"": ""Long duration in phase 2""}}]"                                  ,        2, active, 2025-06-02  , Flag tasks in phase 2 with duration > 3 hours
R003   , JSON Validation Rule    , data_quality, "[{""field"": ""skills"", ""operator"": ""is_json"", ""value"": true}]"                                                                            , "[{""action"": ""fix_json_format"", ""params"": {""auto_fix"": true}}]"                                                        ,        3, active, 2025-06-03  , Automatically fix malformed JSON in skills field
R004   , Missing Rate Rule       , data_quality, "[{""field"": ""hourly_rate"", ""operator"": ""is_empty"", ""value"": true}]"                                                                      , "[{""action"": ""flag_missing_data"", ""params"": {""field"": ""hourly_rate""}}]"                                              ,        2, active, 2025-06-04  , Flag workers with missing hourly rate
R005   , Co-run Task Rule        , assignment  , "[{""field"": ""task_id"", ""operator"": ""in"", ""value"": [""T001"", ""T002""]}]"                                                                , "[{""action"": ""assign_same_worker"", ""params"": {""task_group"": ""frontend_backend""}}]"                                   ,        1, active, 2025-06-05  , Assign T001 and T002 to the same worker
R006   , Skill Matching Rule     , assignment  , "[{""field"": ""required_skills"", ""operator"": ""contains"", ""value"": ""React""}]"                                                             , "[{""action"": ""match_worker_skills"", ""params"": {""required_skills"": [""React""]}}]"                                      ,        2, active, 2025-06-06  , Match React tasks with React-skilled workers
R007   , Deadline Priority Rule  , priority    , "[{""field"": ""deadline"", ""operator"": ""within_days"", ""value"": 7}]"                                                                         , "[{""action"": ""increase_priority"", ""params"": {""new_priority"": ""high""}}]"                                              ,        1, active, 2025-06-07  , Increase priority for tasks due within 7 days
R008   , Inactive Worker Rule    , validation  , "[{""field"": ""status"", ""operator"": ""equals"", ""value"": ""inactive""}]"                                                                     , "[{""action"": ""exclude_from_assignment"", ""params"": {""reason"": ""Worker inactive""}}]"                                   ,        1, active, 2025-06-08  , Exclude inactive workers from task assignment
R009   , Large Budget Rule       , validation  , "[{""field"": ""budget"", ""operator"": ""greater_than"", ""value"": 100000}]"                                                                     , "[{""action"": ""require_approval"", ""params"": {""approval_level"": ""senior_manager""}}]"                                   ,        1, active, 2025-06-09  , Require approval for projects with budget > $100k
R010   , Email Validation Rule   , data_quality, "[{""field"": ""email"", ""operator"": ""is_valid_email"", ""value"": true}]"                                                                      , "[{""action"": ""flag_invalid_email"", ""params"": {""auto_fix"": false}}]"                                                    ,        3, active, 2025-06-10  , Flag invalid email addresses
R011   , Phone Format Rule       , data_quality, "[{""field"": ""phone"", ""operator"": ""matches_pattern"", ""value"": ""+1-555-[0-9]{4}""}]"                                                      , "[{""action"": ""standardize_phone"", ""params"": {""format"": ""+1-XXX-XXXX""}}]"                                             ,        3, active, 2025-06-11  , Standardize phone number format
R012   , Technology Stack Rule   , assignment  , "[{""field"": ""technology_stack"", ""operator"": ""contains"", ""value"": ""React""}]"                                                            , "[{""action"": ""assign_react_developer"", ""params"": {""skill_level"": ""intermediate""}}]"                                  ,        2, active, 2025-06-12  , Assign React developers to React projects
R013   , Risk Assessment Rule    , validation  , "[{""field"": ""risks"", ""operator"": ""equals"", ""value"": ""high""}]"                                                                          , "[{""action"": ""assign_senior_manager"", ""params"": {""min_experience"": 8}}]"                                               ,        1, active, 2025-06-13  , Assign senior managers to high-risk projects
R014   , Progress Tracking Rule  , monitoring  , "[{""field"": ""progress"", ""operator"": ""less_than"", ""value"": 50}, {""field"": ""status"", ""operator"": ""equals"", ""value"": ""active""}]", "[{""action"": ""schedule_review"", ""params"": {""review_type"": ""progress_check""}}]"                                       ,        2, active, 2025-06-14  , Schedule review for active projects with < 50% progress
R015   , Duplicate Task Rule     , validation  , "[{""field"": ""name"", ""operator"": ""duplicate_check"", ""value"": true}]"                                                                      , "[{""action"": ""flag_duplicate"", ""params"": {""merge_suggestion"": true}}]"                                                 ,        2, active, 2025-06-15  , Flag potential duplicate tasks
R016   , Certification Match Rule, assignment  , "[{""field"": ""certification"", ""operator"": ""not_empty"", ""value"": true}]"                                                                   , "[{""action"": ""prefer_certified_worker"", ""params"": {""bonus_points"": 10}}]"                                              ,        3, active, 2025-06-16  , Prefer certified workers for assignments
R017   , Workload Balance Rule   , assignment  , "[{""field"": ""worker_id"", ""operator"": ""task_count"", ""value"": 3}]"                                                                         , "[{""action"": ""balance_workload"", ""params"": {""max_tasks_per_worker"": 3}}]"                                              ,        2, active, 2025-06-17  , Balance workload - max 3 tasks per worker
R018   , Client Industry Rule    , assignment  , "[{""field"": ""industry"", ""operator"": ""equals"", ""value"": ""Healthcare""}]"                                                                 , "[{""action"": ""assign_healthcare_specialist"", ""params"": {""compliance_required"": true}}]"                                ,        1, active, 2025-06-18  , Assign healthcare specialists to healthcare clients
R019   , Payment Terms Rule      , validation  , "[{""field"": ""payment_terms"", ""operator"": ""in"", ""value"": [""Net 15"", ""Net 30"", ""Net 45"", ""Net 60""]}]"                              , "[{""action"": ""validate_payment_terms"", ""params"": {""allowed_terms"": [""Net 15"", ""Net 30"", ""Net 45"", ""Net 60""]}}]",        3, active, 2025-06-19  , Validate payment terms are within allowed values
R020   , Team Size Rule          , validation  , "[{""field"": ""team_size"", ""operator"": ""greater_than"", ""value"": 5}]"                                                                       , "[{""action"": ""require_team_lead"", ""params"": {""lead_experience"": 5}}]"                                                  ,        2, active, 2025-06-20  , Require team lead for teams > 5 members
R021   , Availability Rule       , assignment  , "[{""field"": ""availability"", ""operator"": ""equals"", ""value"": ""part-time""}]"                                                              , "[{""action"": ""assign_smaller_tasks"", ""params"": {""max_duration"": 3}}]"                                                  ,        2, active, 2025-06-21  , Assign smaller tasks to part-time workers
R022   , Experience Level Rule   , assignment  , "[{""field"": ""experience_years"", ""operator"": ""greater_than"", ""value"": 7}]"                                                                , "[{""action"": ""assign_complex_tasks"", ""params"": {""complexity"": ""high""}}]"                                             ,        2, active, 2025-06-22  , Assign complex tasks to experienced workers
R023   , Location Match Rule     , assignment  , "[{""field"": ""location"", ""operator"": ""same_timezone"", ""value"": true}]"                                                                    , "[{""action"": ""prefer_same_timezone"", ""params"": {""bonus_points"": 5}}]"                                                  ,        3, active, 2025-06-23  , Prefer workers in same timezone as client
R024   , Skill Gap Rule          , validation  , "[{""field"": ""required_skills"", ""operator"": ""not_in_worker_skills"", ""value"": true}]"                                                      , "[{""action"": ""flag_skill_gap"", ""params"": {""suggest_training"": true}}]"                                                 ,        2, active, 2025-06-24  , Flag when required skills not available in worker pool
R025   , Deadline Conflict Rule  , validation  , "[{""field"": ""deadline"", ""operator"": ""conflicts_with"", ""value"": ""other_tasks""}]"                                                        , "[{""action"": ""flag_deadline_conflict"", ""params"": {""suggest_reschedule"": true}}]"                                       ,        1, active, 2025-06-25  , Flag conflicting deadlines
R026   , Data Completeness Rule  , data_quality, "[{""field"": ""required_fields"", ""operator"": ""all_filled"", ""value"": true}]"                                                                , "[{""action"": ""validate_completeness"", ""params"": {""required_fields"": [""name"", ""email"", ""skills""]}}]"              ,        2, active, 2025-06-26  , Validate all required fields are filled
R027   , Performance Rule        , monitoring  , "[{""field"": ""task_completion"", ""operator"": ""less_than"", ""value"": 80}]"                                                                   , "[{""action"": ""performance_review"", ""params"": {""review_type"": ""improvement_plan""}}]"                                  ,        2, active, 2025-06-27  , Review workers with < 80% task completion rate
R028   , Cost Optimization Rule  , optimization, "[{""field"": ""hourly_rate"", ""operator"": ""within_budget"", ""value"": true}]"                                                                 , "[{""action"": ""optimize_cost"", ""params"": {""prefer_lower_rate"": true}}]"                                                 ,        3, active, 2025-06-28  , Optimize cost by preferring lower hourly rates within budget
R029   , Quality Control Rule    , validation  , "[{""field"": ""task_status"", ""operator"": ""equals"", ""value"": ""completed""}]"                                                               , "[{""action"": ""quality_check"", ""params"": {""required_approval"": true}}]"                                                 ,        1, active, 2025-06-29  , Require quality check for completed tasks
R030   , Fair Distribution Rule  , assignment  , "[{""field"": ""worker_task_distribution"", ""operator"": ""uneven"", ""value"": true}]"                                                           , "[{""action"": ""redistribute_tasks"", ""params"": {""algorithm"": ""round_robin""}}]"                                         ,        2, active, 2025-06-30  , Ensure fair distribution of tasks among workers
